UNIQUE_CARRIER_ENTITY,CARRIER_NAME,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,AIRLINE_ID
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
1130,"Swift Air, LLC",09Q,1,1,D,21161
6774,Kalitta Charters II,KLQ,1,1,D,20372
6774,Kalitta Charters II,KLQ,1,1,D,20372
1189,CFM Inc d/b/a Contour Airlines,LF,1,6,D,21635
1189,CFM Inc d/b/a Contour Airlines,LF,1,6,D,21635
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6795,Sun Country Airlines d/b/a MN Airlines,SY,2,2,D,20422
6912,USA Jet Airlines Inc.,U7,2,2,D,20447
6912,USA Jet Airlines Inc.,U7,2,2,D,20447
6841,Southern Air Inc.,9S,2,2,D,20190
6841,Southern Air Inc.,9S,2,2,D,20190
6031,Alaska Airlines Inc.,AS,3,3,D,19930
6031,Alaska Airlines Inc.,AS,3,3,D,19930
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6975,Peninsula Airways Inc.,KS,1,5,D,20225
6932,Great Lakes Airlines,ZK,1,6,D,20358
6932,Great Lakes Airlines,ZK,1,6,D,20358
1177,Boutique Air,4B,1,6,D,21599
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,D,20354
6035,Allegiant Air,G4,3,3,D,20368
6035,Allegiant Air,G4,3,3,D,20368
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
6830,Spirit Air Lines,NK,3,3,D,20416
6830,Spirit Air Lines,NK,3,3,D,20416
6689,Mesa Airlines Inc.,YV,2,2,D,20378
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6820,Envoy Air,MQ,3,3,D,20398
6820,Envoy Air,MQ,3,3,D,20398
6932,Great Lakes Airlines,ZK,1,6,D,20358
6932,Great Lakes Airlines,ZK,1,6,D,20358
6085,ExpressJet Airlines Inc.,EV,3,3,D,20366
6085,ExpressJet Airlines Inc.,EV,3,3,D,20366
6085,ExpressJet Airlines Inc.,EV,3,3,D,20366
6085,ExpressJet Airlines Inc.,EV,3,3,D,20366
6910,United Parcel Service,5X,3,3,D,19917
6910,United Parcel Service,5X,3,3,D,19917
6910,United Parcel Service,5X,3,3,D,19917
6910,United Parcel Service,5X,3,3,D,19917
6910,United Parcel Service,5X,3,3,D,19917
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
1260,Delta Air Lines Inc.,DL,3,3,D,19790
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6200,Federal Express Corporation,FX,3,3,D,20107
6200,Federal Express Corporation,FX,3,3,D,20107
7024,Endeavor Air Inc.,9E,2,2,D,20363
7024,Endeavor Air Inc.,9E,2,2,D,20363
6910,United Parcel Service,5X,3,3,D,19917
0A050,American Airlines Inc.,AA,3,3,D,19805
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
0A875,United Air Lines Inc.,UA,3,3,D,19977
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6725,Southwest Airlines Co.,WN,3,3,D,19393
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6003,Republic Airlines,YX,2,2,D,20452
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6460,Frontier Airlines Inc.,F9,3,3,D,20436
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6904,Trans States Airlines,AX,1,5,D,20237
6085,ExpressJet Airlines Inc.,EV,3,3,D,20366
6910,United Parcel Service,5X,3,3,D,19917
1131,Compass Airlines,CP,2,2,D,21167
1131,Compass Airlines,CP,2,2,D,21167
0A050,American Airlines Inc.,AA,3,3,D,19805
0A050,American Airlines Inc.,AA,3,3,D,19805
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
7041,GoJet Airlines LLC d/b/a United Express,G7,2,2,D,20500
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
6700,SkyWest Airlines Inc.,OO,3,3,D,20304
