UNIQUE_CARRIER_NAME,UNIQUE_CARRIER
Northeast Express Regional (1),NER
Northeast Express Regional,NEX
Av Atlantic,HCQ
Aerotour Dominicano Cxa,RTQ
Aero Uruguay (1),ROQ
Aero Uruguay,URQ
Air North,4N
United Air Lines Inc.,UA
Air Alpha,AHA
Alliance Air,AIY
Florida Air,FLA
Patriot Airlines Inc.,PAQ
USAir Shuttle,TB (1)
Key Airlines Inc.,ZN
Translift Airways Limited,FB
Turks Air Ltd.,KTQ
Turks Air Ltd. (1),BHQ
Advantage Airlines,ADV
Air West Airlines,AWA
Keene Airways,KEA
Sky One Express,SOE
America West Airlines Inc.,HP
Hispaniola Airways,ZS
Airmark Airlines Inc.,AKQ
Reno Air Inc.,QQ
Aces Airlines,VX (1)
Nicaraguense De Aviacion Sa,6Y
Jet America Airlines Inc.,SI (1)
Sierra Pacific Airlines,SI
South Pacific Island Airway,SOP
Time Air Sweden Ab,HK
Tranps Aereos Guatemaltecos,TGQ
Morris Air Corporation,KN
Balkan Bulgarian Airlines,LZ
Cal Air International Ltd.,BR (1)
Eva Airways Corporation,BR
Capitol Air Express Inc.,CPQ
Atlas Air Inc.,5Y
Ram Aviation,RMV
Eclipse Airlines,ECL
Aero Transcolombiana,CLQ
Air Casino,ASN
Express Airlines II,EXP
Rader Aviation,RDR
Trans American Charter,ECQ
Export Air Del Peru S.A.,EXQ
Lineas Aereas Allegro,LGQ
Continental Micronesia,CS
J.D.Valenciana De Aviation,V5
Private Jet Expeditions,5J (1)
Eagle Airlines,V9
Eagle Airlines (1),ECA
Leisure International Airways Ltd.,LZQ
Malev Hungarian Airlines,MA
Serv. Aerolineas Mexicanas,SMQ
Lineas Aereas Suramerican,LSQ
Quassar De Mexico,OMQ
Oasis International Airlines S.A.,OB
Aerochago S.A.,G3 (1)
Transp. Aereos Ejecutivos,GD
Aerolineas Uruguayas S.A.,UYQ
People Express Airlines Inc.,PE (1)
Air Europe S.P.A.,PE
UFS Inc.,U2
Pacific International Airlines,PIQ
Air Florida Express,AFE
American Flight Group,AFG
Aviation Sales,AVL
Business Helicopters,BUH
Four Star Aviation,FRS
Sky-Jet,SKJ
Salair,SLR
Southern Air Transport Inc.,SAQ
Air Ukraine,6U
Aeromonterrey S.A.,7M
Biman Bangladesh Airlines,BG
Air Wisconsin Airlines Corp,ZW
Caribair,CRB
Gorda Aero Service,GRA
Western Air Lines Inc.,WA (1)
Worldwide Airlines Services,WA
USAfrica Airways Inc.,E8
Skyjet S.A.,SBQ
Servicio Aereo Leo Lopez,8L
Gulf Air Transport Inc.,GF (1)
Gulf Air Company,GF
Antigua Paradise Airways,PDQ
Evergreen International Inc.,EZ
Air Pacific Ltd. (1),FJ (1)
Air Pacific Ltd.,FJ
Air South Inc. (1),WV (1)
Air South Inc.,ASC
Island Air Charters,ICH
Pacificair,PFA
Ghana Airways Corporation,GH
Sky Service F.B.O.,SEQ
Advance Air Charters,AAQ
Mahalo Air,MHO
Capitol Air,CPT
Dolphin Express,DXA
Grand Airways Inc.,QD
Jetall Airways,8J
Scanair,SIQ (1)
Premiair,SIQ
Renown Aviation,REQ
Aeromar C. Por A.,BQ
Texas Airways,TXY
Halisa Air,WD
Western Pacific Airlines,W7
Brasair Transportes Aereos,BTQ
Uzbekistan Airways,HY
Downeast Flying Service,DFS
Pine State Airlines,PNS
Sunshine Airlines,SUA
Aspen Airways Inc.,APN
Aeromexpress,QO
Tristar Airlines Inc.,T3
Sierra Expressway,SXP
Tower Air Inc.,FF
Serv De Trans Aereos Fuegui,FS
Royal Air,QN
Krasair,7B
Merlin Express,MLX
Custom Air Transport,CTQ
Jettrain Airlines,LF (1)
World Airways Inc.,WO
Mexicargo,GJ (1)
Prestige Airways,OI
Eagle Jet Charter,EGJ
Laker Airways Inc.,6F
Polar Air Cargo Airways,PO
Southern Frontier Air Trans,SFQ (1)
Pacific International Airlines Inc.,SFQ
North East Cargo Airlines,NEQ
Transaero Airlines,UN
Ecuatoriana De Aviacion,EU
Sunworld International Airlines,SM
Federal Express Corporation,FX
Northern Air Cargo Inc.,NC
Blue Scandinavia Ab,TRQ
Antonov Company,ADB
DHL Aero Expresso,DHQ
Maverick Airways,MAV
Golden West Airlines Inc.,GDW
Air Caribbean (1),XC
Air Caribbean,AIC
Canada 3000 Airlines Ltd.,2T
Sobelair,Q7 (1)
Air Illinois Inc.,UX (1)
Air Europa,UX
Condor Flugdienst,DE
Air Atlantic Dominicana,LU
Mountain Air Express,MTX
Aeroejecutivo S.A.,SX (1)
City Bird,H2
Panagra Airways,PNQ
Laker Airways,GKQ
Lb Limited,7Z
Flying Colours Airlines Ltd.,MT (1)
Sky Trek International Airlines,1I
M & N Aviation,MNA
Jim Air Inc.,JMA
Cascade Airways Inc.,CZ (1)
China Southern Airlines,CZ
Jamaica Air Freighters,JAQ
Nacnet,NET
Magadan Airlines,H5
Sunworld International Airways Inc.,JK (1)
Spanair S.A.,JK
Air Atlanta Inc.,CC (1)
Air Atlanta Icelandic,CC
Austin Express Inc.,AUX
Flagship Airlines Inc.,8N
Kiwi International,KP
Transportes Aereos Nacional,TX (1)
Soc.Nouvelle Air Guadeloupe,TX
Sun Pacific International,SPQ
TransMeridian Airlines,T9
Martinair Holland N.V.,MP
Florida West Airlines Inc.,PRQ
Harlequin Air Corporation,HQQ
Amerijet International,M6
Aviacsa Airlines,6A
Ethiopian Airlines,ET
Airbus Transport Internat'l,BGQ
Aeropostal Alas De Venezuel,VH
ABSA-Aerolinhas Brasileiras,M3
Swiss World Airways,SO
Av Center Inc.,AVC
Express Air d/b/a Sunrise,XPA
Braniff Inc.,BN (1)
Britannia Airways GmbH,BN
Air Tahiti Nui,TN
Translux Intl Airlines,LXQ
Accessair Holdings,ZA
Queen Air,5G (1)
Gulf And Caribbean Cargo,GFQ
Transportes Aeros Meridiona,JJ
Eastwind Airlines Inc.,W9
Lynden Air Cargo Airlines,L2
Mesaba Airlines,XJ
American International Airways Inc.,NI (1)
Lanica,NI
Kitty Hawk International,CDQ
Air Ketchum Idaho Inc.,AIK
Luxair,LG
National Airlines,N7
Asia Pacific,PFQ
Lorair Ltd.,LOQ
TUIfly Nordic A.B.,6B
Trans International Express,TIE
Lapa-Lineas Aereas Privadas,MJ
Czech Airlines,OK
Novair Airlines Ab,NOQ
Jalways Co. Ltd.,JO
Sterling Cargo,NB
The Hawaii Express Inc.,LP (1)
Lan Peru Airlines,LP
Aero Continente,N6
Southern Air Inc.,9S
Fine Airlines Inc.,FNQ
Vanguard Airlines Inc.,NJ
Gemini Air Cargo Airways,GR
Arrow Air Inc.,JW
Sky Lease Cargo,WI
Air Malta,KM
Casino Airlines (1),CSN
Casino Airlines,CSA
Farwest Airlines,FRW
C.A.L Cargo Airlines,5C
Ameristar Air Cargo,AMQ
Chicago Express Airlines,C8 (1)
Falcon Air Express,FCQ
Champion Air,MG
Aeromaritime,OV
Jazz Aviation LP,QK
XTRA Airways,XP
Taca Peru,TQQ
Air Japan Co,NQ
Privatair,PBQ
Trans World Airways LLC,TW
Sunair Express LLC,SUX
Polyot Airlines,POQ
Avia Leasing Company,AD (1)
Best Airlines Inc.,IW (1)
Air Liberte Aka Aom Minerve,IW
Air Excursions LLC (1),AEX
Express One International Inc.,JKQ
Village Aviation,VLA
Air 21,A7 (1)
Air Comet S.A.,A7
Estafeta Carga Aereas,E7
F.S. Air Service,FSA
Katmai Air,KAT
Peninsula Airways Inc.,KS
Spernak Airways Inc.,SNK
Vensecar International,V4
Suncoast Airlines Inc.,WS (1)
Westjet,WS
Lineas Aereas Azteca,ZE (1)
Dutch Caribbean Airlines,K8
Cielos De Peru,A2
Swiss International Airlines,LX
Edelweiss Air Ag,8R
Conner Air Lines Inc.,4S (1)
Sol Air (Aero Hunduras),4S
Trans States Airlines,AX
Southern Wind Airlines,A4
All Canada Express,CEQ
Ccair,SNB
Sunrise Airlines Inc.,ASW
North Vancouver Air,NXQ
Valujet Airlines Inc.,J7
Potomac Air,POA
Great Plains Airlines Inc.,TRI
Atlantic Coast Jet Inc.,ACJ
Rio Grande Air,EWA
Wilburs Inc.,8F
Nevis Express,NVX
Aerolitoral,5D
Westair Airlines Inc.,OE
Pacific Island Aviation,9J
Cape Air,9K
Colgan Air,9L
Central Mountain Air,9M
Arizona Airways,ARZ
Bemidji Airlines,CH
Big Sky Airlines Inc.,GQ
European Aviation Air Charter,E72
Worldwide Airlines Inc.,WLQ
Ellis Air Taxi Inc.,ELL
Empire Airlines Inc. (1),UR
Empire Airlines Inc.,EM
Empire Airlines Inc. (2),EMP
Freedom Airlines d/b/a HP Expr,F8
G5 Executive Ag,GBQ
Grand Canyon Helicopters,GCH
Global Supply System,GSQ
Allegheny Airlines,HRZ
Helijet International Inc.,JB
Winair Inc.,WNQ
Kenmore Air Harbor,KAH
New England Airlines Inc.,NEW
Northwest Seaplanes,NWS
Ozark Air Lines Inc. (1),OZ (1)
Ozark Air Lines Inc.,OZA
Asiana Airlines Inc.,OZ
Mytravel Airways,RNQ
Air-Serve,RSV
Seaborne Aviation,SEB
Mountain Bird/Salmon Air,S6 (1)
Samoa Aviation Inc.,SMO
Trans Continental Airlines,YB
Express.Net Airlines,TCQ
Ward Air,WRD
Vintage Props & Jets Inc.,VQ
Island Air Hawaii,WP
Trans International Airlines Inc.,TFQ
Friday Harbor Seaplanes,WST
Air St. Thomas,ZP
Air Midwest Inc.,ZV
Airbc Ltd.,ZX (1)
Air Georgian,ZX
Jetsgo,SG
Midway Airlines Inc. (1),ML (1)
Aero Costa Rica,ML
Midway Airlines Inc.,JI (1)
Jes Air Ltd.,JX (1)
Southeast Airlines,JX
Pacific Wings Airlines,LW
Kar-Air Oy,KR (1)
Kitty Hawk Aircargo,KR
Nolinor Aviation,NLQ
SkyWest Airlines Inc.,OO
Pace Airlines,PCQ
Challenge Air Transport Inc.,VV (1)
Challenge Air International Inc.,VV (2)
Centurion Cargo Inc.,WE
Aerosvit Ukranian Airlines,VV
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL
Jet Connection Businessflight Ag,JCQ
ATA Airlines d/b/a ATA,TZ
Cargojet Airways Ltd.,W8
"Midwest Airline, Inc.",YX (1)
Bellair Inc. (1),7G (1)
Bellair Inc.,5B
MK Airlines Ltd.,7G
Olson Air Service,4B (1)
Smokey Bay Air Inc.,2E
Frontier Flying Service,2F
British Airtours Limited,4E
Tanana Air Service,4EQ
Warbelow,4W
Yute Air Aka Flight Alaska,4Y
Arctic Circle Air Service,5F
Cape Smythe Air Service,6C
Era Aviation,7H
Inland Aviation Services,7N
Skystar International Inc.,7S (1)
Arctic Transportation,7S
Bering Air Inc.,8E
Baker Aviation Inc.,8Q
Wright Air Service,8V
Thomas Cook Airlines Uk Ltd.,MT
Boston-Maine Airways,E9
Hageland Aviation Service,H6
Kalinin Aviation LLC d/b/a Alaska Seaplanes,J5
Larrys Flying Service,J6
L.A.B. Flying Service Inc.,JF
"Seaport Airlines, Inc.",K5
Alaska Central Express,KO
40-Mile Air,Q5
Airlift International Inc.,RD (1)
Ryan International Airlines,RD
Regency Air,RGQ
Iliamna Air Taxi,V8
Pro Air Inc.,P9
Lan Ecuador,XL
Promech,Z3 (1)
Lan Dominica,4M (1)
Primaris Airlines Inc.,FE
Westward Airways Inc.,WAW
"Dynamic Aviation, Inc. d/b/a Beacon",8D
Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ
US Airways Inc.,US
Skyway Airlines,AL
"Astar USA, LLC",ER
Great Lakes Airlines,ZK
Triair Bermuda Flt Operations,TBQ
Sata Internacional,S4
Valley Air Express Inc.,2U
China Cargo Airline,CK
Endeavor Air Inc.,9E
Canjet Airlines,C6
Aviation Concepts,CZQ
ExpressJet Airlines Inc.,EV
Freedom Air,FRA
Allegiant Air,G4
Kalitta Air LLC,KAQ
Reliant Airlines,RLQ
Kalitta Charters II,KLQ
Propair,PPQ
ExpressJet Airlines Inc. (1),XE
First Choice Airways,TZQ
"Mn Aviation, Inc.",W4
Omni Air International LLC,X9
Mesa Airlines Inc.,YV
Zantop International,ZKQ
SkyLink Express Inc.,PEQ
Air Atlanta Europe,EUQ
Victory Air Transport Inc.,VCQ
Venture Travel LLC d/b/a Taquan Air Service,K3
Pan American World Airways (1),PA (1)
Air Panama Internacional,OP (1)
Pan American World Airways,PA (2)
Pan American Airways Corp.,PN
Flying Boat Inc.,OP
Florida Coastal Airlines,PA
Belair Airlines Ltd.,4T
Israir Airlines,6H
Emirates,EK
Business Express,HQ (1)
Harmony Airways,HQ
Sociedad Aeronautica De Med,MM (1)
Euro Atlantic Airways,MM
PSA Airlines Inc.,OH
Envoy Air,MQ
Planet Airways,PLQ
Capital Cargo International,PT (1)
Silver Airways,3M
Miami Air International,GL
Discovery Airways Inc.,DH (1)
Independence Air,DH
National Air Cargo Group Inc d/ba National Airlines,N8
NetJets Large Aircraft Company L.L.C.,BNQ
"Regions Air, Inc.",3C
Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V
JetBlue Airways,B6
Celtic Tech Jet Ltd.,CSQ
Arizona Express,K7
Nations Air Express Inc.,N5 (1)
Skagway Air Service,N5
Executive Airlines,OW
North American Airlines,NA
Spirit Air Lines,NK
Comair Inc.,OH (1)
Chautauqua Airlines Inc.,RP
Aerolineas Nicaraguenses,RL (1)
UltrAir,RL
Sky King Inc.,SLQ
Sun Country Airlines d/b/a MN Airlines,SY
USA 3000 Airlines,U5
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",YR
Viscount Air Service Inc.,VIQ (1)
Vieques Air Link Inc.,VI
Piedmont Airlines,PT
Volga-Dnepr Airlines,VIQ
Aero Laguna S.A. De C.V.,AVQ
Aerodan S.A. De C.V.,AYQ
Aero Rentas De Coahuila S.A. De C.V.,BAQ
Aerotaxis De Aguascalientes S.A. De C.V.,BDQ
Servicios Aeronauticos Z S.A. De C.V.,BIQ
Taxirey S.A. De C.V.,BJQ
Frontier Airlines Inc. (1),FL (1)
Frontier Airlines Inc.,F9
AirTran Airways Corporation,FL
Air Club International,HB (1)
Homer Air,HB
Lineas Aereas Del Caribe,LC (1)
Legend Airlines,LC (2)
Varig Logistica S/A,LC
Island Air Service,2O
Excel Airways,JN
"Commutair Aka Champlain Enterprises, Inc.",C5
Aerotransportes Mas De Crga,M7
USA Jet Airlines Inc.,U7
Shuttle America Corp.,S5
Aero-Services-Corporate,WEQ
Omega Air Holdings d/b/a Focus Air,F2
Transmile Air Service,TH
Republic Airlines,YX
ABX Air Inc,ABX
"EOS Airlines, Inc.",E0
Grant Aviation,GV
Air Foyle Limited,GS
GoJet Airlines LLC d/b/a United Express,G7
Morningstar Air Express,MOQ
MAXjet,MY
"Abaco Air, Ltd.",BZQ
Challenge Air Luftverkehrs GmbH,CAQ
"PM Air, LLC",Z3
Harris Air Services,HBQ
Tyrolean Jet Service,TIQ
"Executive Airlines, SL",EAQ
Titan Airways,02Q
TUI Airlines Nederland B.V.,OR
Aerounion Aerotransporte de Carga Union SA de CV,6R
"Cargo 360, Inc.",GG
Globespan Airways Limited d/b/a Flyglobespan,Y2
Arrow Panama,WAP
Tradewind Aviation,04Q
LAN Argentina,4M
US Helicopter Corporation,UH
"Comlux Aviation, AG",05Q
"NetJets Transportes Aereos, S.A.",NJE
Etihad Airways,EY
"Pacific Airways, Inc.",3F
Flyjet Limited d/b/a Silverjet,Y7
"TravelspanGT, Inc. S.A.",9T
Zeal 320,37
Elysair d/b/a L'Avion,A0
ANA & JP Express Co. Ltd.,9N
VistaJet Luftfahrtunternehmen GmbH,VSA
Master Top Linhas Aereas Ltd.,06Q
JetClub AG,0J
Flair Airlines Ltd.,07Q
"Avior Airlines, C.A.",9V
Flying Service N.V.,0Q
"Master Top Linhas Aereas, Ltda.",Q4
"Global Jet Austria, GmbH",IGA
"Global Jet Luxembourg, Sa",SVW
"Swift Air, LLC",09Q
Compass Airlines,CP
Virgin America,VX
"Skybus Airlines, Inc.",SX
"Skyservice Airlines, Inc.",5G
DCA,0BQ
Eurofly S.p.A,GJ
ACM AIR CHARTER GmbH,0CQ
Jade Cargo International,JI
CAT Aviation,CAZ
"Inter Island Airways, d/b/a Inter Island Air",0GQ
Polar Airlines de Mexico d/b/a Nova Air,0HQ
Lynx Aviation d/b/a Frontier Airlines,L3
Vladivostok Air,XF
"Porter Airlines, Inc.",PD
Sunwing Airlines Inc.,WG
Vision Airlines,0JQ
"Mokulele Flight Services, Inc.",MW
Star Air A/S,S6
"Metropix UK, LLP.",0LQ
"Multi-Aero, Inc. d/b/a Air Choice One",0MQ
"Santa Barbara Airlines, C.A",S3
Jet Airways (India) Limited,9W
Qatar Airways (Q.C.S.C),QR
Yangtze River Express Airlines Company,Y8
Hainan Airlines Company Limited,HU
JetAlliance Flugbetriebs d/b/a JAF Airservice,JAG
Open Skies,0OQ
Aeromexico Travel,TRA
Pan American World Airways Dominicana,7Q
TAG Aviation S.A.,FP
TAG Aviation (UK) Ltd.,0QQ
TAG Aviation Espana S.L.,0RQ
"Air Greco, Inc., d/b/a Wings Air",WV
"Corporatejets, XXI",0TQ
Aerosur,5L
Great Wall Airlines Company Limited,IJ
"Comlux Malta, Ltd.",0UQ
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",VB
Ocean Sky (UK) Limited,0VQ
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4
Avjet Corporation,0WQ
Jetstar Airways Pty Limited,JQ
Air Berlin PLC and CO,AB
XL Airways France,SE
Aeroservices Executive,BES
Lan Colombia,L7
Comlux Malta Ltd.,0YQ
Air Excursions LLC,X4
Virgin Blue International Airlines t/a V Australia,VA
"Prescott Support Company, Inc.",PM
Acropolis Aviation Ltd.,CRV
Swiss Air Ambulance,10Q
Insel Air International B V,7I
Jin Air Co Ltd.,LJ
Jet Aviation Business Jets AG,PP
Unijet,12Q
AeroLogic GmbH,3S
Meridiana S.p.A,IG
Corsair International,SS
Chartright Air Inc.,13Q
Hapag-Lloyd Executive GmbH,EXC
London Air Services Limited,14Q
Air Alsie A/S,15Q
Albinati Aeronautics SA,17Q
Skymark Airlines Inc.,BC
Aerovias de Intergracian Regional,4C
Arik Air International,W3
Via Airlines d/b/a Charter Air Transport,1AQ
AirBridgeCargo Airlines Limited,RU
"Dynamic Airways, LLC",1BQ
Island Airlines LLC,1DQ
Aerolineas Galapagos S A Aerogal,2K
"Travel Service, a.s.",QS
"KaiserAir, Inc.",1EQ
Alsek Air,1FQ
Transportes Aeromar S.A de C.V,VW
Air Finland Ltd.,OF
International Jet Management GmbH,1HQ
Jet link AG,1IQ
TUI Airlines Belgium N.V. d/b/a Jetairfly,TB
Sichuan Airlines Co Ltd.,3U
Exec Direct Aviation Services Limited,1JQ
Brussels Airlines N.V.,SN
VistaJet Limited,VJT
Lauda Motion GmbH,LDM
Star Marianas Air Inc.,1SQ
Bertelsmann Aviation GmbH,1LQ
Air Company Yakutia,R3
Rhoades Aviation dba Transair,1TQ
ABC Aerolineas SA de CV dba Interjet,4O
Norwegian Air Shuttle ASA,DY
Cargolux Italia SpA,C8
"Reeve Air Alaska, LLC",RVQ
Tame Linea Aerea del Ecuador Tme EP,EQ
Twin Cities Air Service LLC,1MQ
Gainjet Aviation SA,1UQ
Jeju Air Co Ltd.,7C
Scott Air LLC dba Island Air Express,I4
Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ
JSC The 224th Flight Unit State Airlines,1NQ
WOW Air ehf,WW
Boutique Air,4B
Dassault Falcon Service,1XQ
VRG Linhas Aereas S A,G3
Fly Jamaica Airways Limited,OJ
Ukraine International Airlines,PS
Air Canada rouge LP,RV
Sky Regional Airlines Inc.,RS
Makani Kai Air Charters,1PQ
City Wings Inc dba Seaflight,1QQ
"Air Charter, Inc d/b/a Air Flamenco",1YQ
Sun Air Express LLC dba Sun Air International,1RQ
SkyBahamas Airlines Ltd.,Q7
Jet2.com,LS
Dreamjet SAS Dba La Compagnie,B0
Western Global,KD
Comlux Aruba NV,1ZQ
Orange Air,20Q
Aloha Air Cargo,KH
CFM Inc d/b/a Contour Airlines,LF
Gem Air LLC,22Q
Azul Linhas Aereas Brazileiras S A,AD
Songbird Airways Inc.,23Q
Blue Jet SP Z o o,24Q
SkyGreece Airlines S A,GW
Mjet GmbH,25Q
Eastern Airlines Group Inc.,EE
Albinati aviation Limited,26Q
"Jet Aviation Flight Services, Inc.",27Q
Menagerie Enterprises Inc d/b/a Monarch Air,28Q
Erickson Helicopters,29Q
ABS JETS A.S,2AQ
Air Asia X Berhad dba Airasia X,D7
Air Busan,BX
Air Medical Ltd.,2BQ
Oceanair Linhas Aereas S A,O6
Aviation Partners of Boynton Beach LLC d/b/a Hummingbird Air,2DQ
Fast Colombia SAS d/b/a Viva Colombia,FC
Inselair Aruba NV,8I
"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",2EQ
Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane,3SD
Cebu Air Inc d/b/a Cebu Pacific Air,5J
Azerbaijan Airlines CJSC,J2
Cavok Air LLC,2GQ
Silk Way West Airlines,7L
Orenburg Airlines,R2
WestJet Encore Ltd.,WR
Hong Kong Airlines Limited,HX
Elite Airways LLC,2HQ
Delux Public Charter LLC,2JQ
Eurowings GmbH,EW
Abelag Aviation AG,AAB
Longtail Aviation Ltd.,2KQ
Air Serbia,JU
Tropic Ocean Airways LLC,2LQ
LIMA NY Corp d/b/a Fly The Whale d/b/a Tailwind,2NQ
Talofa Airways Limited,2OQ
21 Air LLC,2PQ
Luxaviation S A,2RQ
Trans Northern Airways d/b/a Air Unlimited Charter Services,2TQ
"Xiamen Airlines Co., Ltd.",MF
"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines",2P
Cargologicair Limited,P3
Eastar Jet Co Ltd.,ZE
Hong Kong Express Airways Limited,UO
"Maine Aviation Aircraft Charter, LLC",0FQ
Svenskt Industriflyg AB,2UQ
"Paklook Air, Inc d/b/a/ Airlift Alaska",K2
Beijing Capital Airlines,JD
Norwegian Air International Ltd.,D8
"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",30Q
"Polaris Aviation Solutions, LLC",34Q
Scoot Tigerair Pte Ltd d/b/a Scoot,TR
