AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
19393,WN,37933,Air Cargo America Inc.,AGA,37933,Air Cargo America Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,30145,All Island Air,AIA,30145,All Island Air,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37703,Air Express Inc.,AIE,37703,Air Express Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,30072,Air Mont. Inc.,AIM,30072,Air Mont. Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37765,Air Indiana,AIN,37765,Air Indiana,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37910,Air-Lift Associates Inc.,ALE,37910,Air-Lift Associates Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,30139,Brandt Air,ALI,30139,Brandt Air,10,1,6,Domestic,1/1/1960,9/30/2002
19393,WN,37886,All Seasons Air Pacific,ALL,37886,All Seasons Air Pacific,10,1,6,Domestic,1/1/1960,9/30/2002
21652,27Q,37752,North American Airlines Inc.,AMA,37752,North American Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21652,27Q,37772,American Inter-Island Inc.,AMI,37772,American Inter-Island Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21652,27Q,37656,Air Nebraska Inc.,ANB,37656,Air Nebraska Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21652,27Q,37710,Airways Of New Mexico Inc.,ANM,37710,Airways Of New Mexico Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21652,27Q,30089,Metro Air Northeast Vermont,ANO,30089,Metro Air Northeast Vermont,10,1,6,Domestic,1/1/1960,9/30/2002
21652,27Q,30446,Air North/Nenana,ANT,30446,Air North/Nenana,10,1,6,Domestic,1/1/1960,9/30/2002
20377,X9,37950,Trans New York,AOI,37950,Trans New York,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,37940,Arizona Pacific Inc.,API,37940,Arizona Pacific Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,30217,Appalachian Flying Service,APL,30217,Appalachian Flying Service,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,37929,Air Polynesia Inc.,APY,37929,Air Polynesia Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,37938,Arizona Aero Corp.,ARI,37938,Arizona Aero Corp.,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,30228,Arnold Aviation,ARN,30228,Arnold Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,37681,Air Oregon,ARO,37681,Air Oregon,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,37956,Arrowhead Airways Inc.,ARR,37956,Arrowhead Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,30187,Amistad Airlines,ASD,30187,Amistad Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
21161,09Q,30153,Alpine Air Services Inc.,ASI,30153,Alpine Air Services Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20372,KLQ,37821,Asap Air Inc.,ASP,37821,Asap Air Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20372,KLQ,30237,Astro Airways,AST,30237,Astro Airways,10,1,6,Domestic,1/1/1960,9/30/2002
21635,LF,37740,Air Atlantic Airlines Inc.,ATN,37740,Air Atlantic Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
21635,LF,37905,Pacific National Airways,ATO,37905,Pacific National Airways,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,37789,Atlantis Airlines Inc.,ATS,37789,Atlantis Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,37757,Aerotransit Inc.,ATT,37757,Aerotransit Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,30022,Air Carolina,ATX,30022,Air Carolina,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,37948,Air Vectors Airways,AVA,37948,Air Vectors Airways,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,37667,Aero Virgin Islands Corp.,AVI,37667,Aero Virgin Islands Corp.,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,30251,Aviation Services,AVS,30251,Aviation Services,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,30243,Southern Jersey Airways,AVZ,30243,Southern Jersey Airways,10,1,6,Domestic,1/1/1960,9/30/2002
20422,SY,30278,Business Aircraft Corp.,BAC,30278,Business Aircraft Corp.,10,1,6,Domestic,1/1/1960,9/30/2002
20447,U7,37818,Brennan & Hargreaves Inc.,BAH,37818,Brennan & Hargreaves Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20447,U7,37711,Bankair Inc.,BAK,37711,Bankair Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20190,9S,37819,Bard-Air Corp.,BAR,37819,Bard-Air Corp.,10,1,6,Domestic,1/1/1960,9/30/2002
20190,9S,37669,Baja Cortez Airlines,BCA,37669,Baja Cortez Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19930,AS,37826,Bennington Aviation Inc.,BEN,37826,Bennington Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19930,AS,37844,Beyer Aviation,BEY,37844,Beyer Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
20237,AX,30260,Blackhawk Airways Inc.,BHK,30260,Blackhawk Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20237,AX,37859,Bighorn Airways Inc.,BHO,37859,Bighorn Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37907,Birchwood Air Service,BIR,37907,Birchwood Air Service,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37768,Bremerton Aviation Inc.,BMT,37768,Bremerton Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37923,Boise Air Service,BOA,37923,Boise Air Service,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,30266,Brower Airways Inc.,BRO,30266,Brower Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,30275,Burlington Airways Inc.,BUR,30275,Burlington Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37743,Coleman Air Transport,CAC,37743,Coleman Air Transport,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37813,Crawford Aviation Inc.,CAI,37813,Crawford Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37785,C & M Airlines,CAM,37785,C & M Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37832,Metro Air Northeast N Y,CAP,37832,Metro Air Northeast N Y,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,30323,Catalina Airlines Inc.,CAT,30323,Catalina Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37784,Air Virginia,CAV,37784,Air Virginia,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37908,Carriba Air Inc.,CBA,37908,Carriba Air Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20225,KS,37937,Cen-Tex Airlines Inc.,CEN,37937,Cen-Tex Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20358,ZK,37792,Century Airlines (Cal),CET,37792,Century Airlines (Cal),10,1,6,Domestic,1/1/1960,9/30/2002
20358,ZK,37872,Chandler Flyer,CHD,37872,Chandler Flyer,10,1,6,Domestic,1/1/1960,9/30/2002
21599,4B,30284,Charter Airlines,CHE,30284,Charter Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20354,AJQ,37689,Hammonds Commuter Air Serv.,CHF,37689,Hammonds Commuter Air Serv.,10,1,6,Domestic,1/1/1960,9/30/2002
20354,AJQ,37957,Choi Aviation Inc.,CHO,37957,Choi Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20354,AJQ,37708,Christman Air System,CHS,37708,Christman Air System,10,1,6,Domestic,1/1/1960,9/30/2002
20354,AJQ,37943,Cal Sierra Airlines,CIS,37943,Cal Sierra Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20368,G4,37967,Centennial Airlines,CNN,37967,Centennial Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20368,G4,37916,Cotton Belt Aviation Inc.,COB,37916,Cotton Belt Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37880,Coker Aviation Inc.,COK,37880,Coker Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37806,Commutair,COM,37806,Commutair,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37831,Coral Air Inc.,COR,37831,Coral Air Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37707,Cosmopolitan Comm. Airline,COS,37707,Cosmopolitan Comm. Airline,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,30339,Southeastern Commuter,COT,30339,Southeastern Commuter,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37801,Courtesy Air Service Inc.,COU,37801,Courtesy Air Service Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,30287,Capitol Air Lines,CPA,30287,Capitol Air Lines,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37704,Coastal Plains Commuter Inc.,CPC,37704,Coastal Plains Commuter Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,30357,Commuter Airlines,CRA,30357,Commuter Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,37672,Crown Aviaiton Inc.,CRN,37672,Crown Aviaiton Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19805,AA,30372,Crown Airways Inc.,CRO,30372,Crown Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,37696,Crested Butte Air Service,CRT,37696,Crested Butte Air Service,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,30327,Catskill Airways Inc.,CSK,30327,Catskill Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,37709,Century Airlines,CTA,37709,Century Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,37773,Cothron Aviation,CTH,37773,Cothron Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,30321,Catalina-Vegas Airlines,CVA,30321,Catalina-Vegas Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,37882,Danbury Airlines,DAN,37882,Danbury Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19790,DL,30397,Downeast Airlines Inc.,DEA,30397,Downeast Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20500,G7,37812,Decatur Aviation,DEC,37812,Decatur Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
20500,G7,37919,DHL Airlines Inc.,DHL,37919,DHL Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37879,Dickman Aviation Services,DIC,37879,Dickman Aviation Services,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37788,Desert Pacific Airways,DPA,37788,Desert Pacific Airways,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37814,Desert Pacific Airlines Inc.,DPI,37814,Desert Pacific Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37853,Desert Airlines,DST,37853,Desert Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37865,Executive Aviation Inc.,EAI,37865,Executive Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30402,Eastern Caribbean Airways,EAS,30402,Eastern Caribbean Airways,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37851,Eastern Carolina Aviation,ECI,37851,Eastern Carolina Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37692,Ede Aire,EDE,37692,Ede Aire,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37770,Executive Four Winds,EFA,37770,Executive Four Winds,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37658,Eagle Commuter Airlines Inc.,EGL,37658,Eagle Commuter Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37778,East Hampton Aire Inc.,EHA,37778,East Hampton Aire Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37751,East. Indiana Aviation Sale,EIA,37751,East. Indiana Aviation Sale,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30412,Air Pacific Inc.,EKA,30412,Air Pacific Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37931,Erie Airways Inc.,ERI,37931,Erie Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37840,Empire Aero Service,ERO,37840,Empire Aero Service,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37961,Evanston Aviation,EVA,37961,Evanston Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37901,Federal Armored Service Inc.,FAR,37901,Federal Armored Service Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37823,Young Flying Service,FBI,37823,Young Flying Service,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37914,Southern Airlines Inc.,FCA,37914,Southern Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30438,Florida Airlines Inc.,FDA,30438,Florida Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37830,Freedom Airlines Inc.,FDM,37830,Freedom Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37653,Flamenco Airways Inc.,FLM,37653,Flamenco Airways Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37730,Ford-Aire Inc.,FOR,37730,Ford-Aire Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30447,Foster Aviation,FOS,30447,Foster Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37678,Skycraft Inc.,FVA,37678,Skycraft Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37781,Far West Airlines,FWA,37781,Far West Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30453,General Aviation Inc.,GAS,30453,General Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37867,Gromer Aviation Inc.,GAV,37867,Gromer Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37726,Central States Airline,GBA,37726,Central States Airline,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37856,Golden Carriage Aire,GCA,37856,Golden Carriage Aire,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30450,Midway Commuter,GCS,30450,Midway Commuter,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37745,Green Hills Aviation Ltd.,GHA,37745,Green Hills Aviation Ltd.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37790,Green Mountain Airlines Ltd.,GMA,37790,Green Mountain Airlines Ltd.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37852,Copper State Airlines,GOF,37852,Copper State Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30477,Isle Royale Seaplane Serv.,GRO,30477,Isle Royale Seaplane Serv.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37769,Golden South Airlines Inc.,GSL,37769,Golden South Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30484,Gull Air Inc.,GUL,30484,Gull Air Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37794,Gunnel Aviation Inc.,GUN,37794,Gunnel Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30686,Ross Aviation Inc.,GWE,30686,Ross Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30501,Heussler Air Service Corp,HEU,30501,Heussler Air Service Corp,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37632,Hensley Flying Service Inc.,HFS,37632,Hensley Flying Service Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30595,Long Island Airlines,HMZ,30595,Long Island Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,37787,Holiday Airlines Inc.,HOL,37787,Holiday Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
20304,OO,30496,Iowa Airlines,HOR,30496,Iowa Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30215,Pacific Coast Airlines,HPZ,30215,Pacific Coast Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30495,Trans-National Airlines Haw,HRA,30495,Trans-National Airlines Haw,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30710,Scenic Airlines Inc.,HSZ,30710,Scenic Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30497,Skystream Airlines,HUB,30497,Skystream Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37774,Hawking Corporation,HWK,37774,Hawking Corporation,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30502,Hyannis Aviation,HYA,30502,Hyannis Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37783,Iowa City Flying Service,ICF,37783,Iowa City Flying Service,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37834,Idee Industries Inc.,III,37834,Idee Industries Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37748,Inland Empire Airlines Inc.,INA,37748,Inland Empire Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37753,Indiana Airways Inc. (Pa),IND,37753,Indiana Airways Inc. (Pa),10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37736,Indo-Pacific International,IPI,37736,Indo-Pacific International,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30754,Island Airlines,ISL,30754,Island Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37767,Sunbelt Airlines Inc.,JAM,37767,Sunbelt Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37848,Air Chico,JCM,37848,Air Chico,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37838,Jer-Don Air,JER,37838,Jer-Don Air,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37798,Knight Airlines Inc.,KAI,37798,Knight Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30528,Key Airlines,KEE,30528,Key Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30394,Crown Air,KWZ,30394,Crown Air,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37635,Chaparral Airlines Inc.,KXZ,37635,Chaparral Airlines Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37946,Lancer Aviation Inc.,LAN,37946,Lancer Aviation Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30541,Lawrence Aviation,LAW,30541,Lawrence Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30533,Havasu Airlines,LHA,30533,Havasu Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37873,Lakeland Aviation,LLA,37873,Lakeland Aviation,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,30567,Aero Commuter,LOS,30567,Aero Commuter,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37723,Las Vegas Airlines,LVA,37723,Las Vegas Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37829,Magum Airlines,MAG,37829,Magum Airlines,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37694,The Maui Commuter,MAI,37694,The Maui Commuter,10,1,6,Domestic,1/1/1960,9/30/2002
19977,UA,37786,Marshall's Air Inc.,MAR,37786,Marshall's Air Inc.,10,1,6,Domestic,1/1/1960,9/30/2002
